vehicle_id,lane,frame,timestamp_sec
2024,1,1938,64.60
2034,2,1945,64.83
2038,1,1949,64.97
2048,1,1955,65.17
2057,1,1962,65.40
2064,1,1968,65.60
1916,1,1974,65.80
2077,1,1975,65.83
2089,2,1981,66.03
2102,2,1991,66.37
1999,2,1993,66.43
2106,1,1997,66.57
2118,2,2012,67.07
2122,2,2016,67.20
2136,1,2023,67.43
2144,1,2032,67.73
2161,2,2040,68.00
2177,1,2051,68.37
2178,2,2054,68.47
2136,2,2059,68.63
2189,2,2061,68.70
2192,1,2067,68.90
2193,2,2068,68.93
2214,2,2085,69.50
2223,2,2092,69.73
2235,1,2101,70.03
2250,1,2110,70.33
2253,1,2111,70.37
2256,1,2115,70.50
2263,1,2122,70.73
2282,1,2130,71.00
2235,2,2132,71.07
2290,1,2136,71.20
2303,1,2142,71.40
2304,1,2143,71.43
2317,1,2151,71.70
2318,2,2151,71.70
2323,1,2167,72.23
2325,2,2168,72.27
2327,1,2169,72.30
2331,1,2174,72.47
2362,1,2199,73.30
2368,1,2202,73.40
2376,1,2208,73.60
2381,1,2215,73.83
2383,1,2222,74.07
2389,2,2227,74.23
2392,1,2229,74.30
2394,2,2230,74.33
2396,1,2233,74.43
2408,1,2243,74.77
2409,1,2243,74.77
2414,1,2257,75.23
2303,2,2258,75.27
2441,1,2277,75.90
2459,2,2287,76.23
2463,1,2292,76.40
2482,1,2313,77.10
2505,1,2331,77.70
2506,1,2333,77.77
2509,1,2338,77.93
2512,1,2339,77.97
2532,1,2364,78.80
2534,2,2366,78.87
2542,1,2400,80.00
2544,2,2402,80.07
2512,2,2410,80.33
2548,2,2410,80.33
2553,1,2428,80.93
2555,2,2446,81.53
2542,2,2454,81.80
2578,1,2464,82.13
2580,2,2465,82.17
2582,2,2470,82.33
2594,1,2497,83.23
2600,2,2504,83.47
2601,2,2505,83.50
2622,1,2527,84.23
2631,2,2534,84.47
2627,2,2535,84.50
2637,1,2538,84.60
2622,2,2561,85.37
2655,2,2565,85.50
2661,1,2566,85.53
2665,2,2570,85.67
2682,1,2598,86.60
2683,2,2604,86.80
2701,2,2621,87.37
2719,1,2632,87.73
2737,2,2644,88.13
2747,1,2651,88.37
2752,1,2657,88.57
2753,1,2659,88.63
2719,2,2670,89.00
2769,1,2671,89.03
2782,1,2688,89.60
2783,2,2689,89.63
2786,1,2693,89.77
2797,2,2704,90.13
2798,2,2705,90.17
2797,1,2712,90.40
2802,1,2714,90.47
2805,1,2717,90.57
2798,1,2727,90.90
2818,1,2754,91.80
2805,2,2758,91.93
2820,1,2761,92.03
2823,1,2767,92.23
2830,1,2786,92.87
2830,2,2807,93.57
2837,1,2809,93.63
2845,1,2816,93.87
2853,1,2825,94.17
2854,1,2825,94.17
2866,1,2852,95.07
2870,1,2859,95.30
2875,1,2864,95.47
2880,1,2869,95.63
2886,1,2874,95.80
2888,1,2877,95.90
2914,1,2895,96.50
2917,1,2898,96.60
2918,1,2900,96.67
2870,2,2903,96.77
2919,1,2908,96.93
2920,2,2910,97.00
2928,1,2922,97.40
2942,1,2930,97.67
2953,1,2943,98.10
2954,1,2943,98.10
2987,1,2972,99.07
2990,2,2983,99.43
2996,1,2989,99.63
2999,1,2999,99.97
3003,1,3022,100.73
3006,1,3023,100.77
3007,2,3024,100.80
3013,2,3042,101.40
3014,2,3060,102.00
3025,2,3078,102.60
3036,2,3088,102.93
3044,2,3101,103.37
3047,2,3107,103.57
3053,2,3111,103.70
3057,1,3119,103.97
3036,1,3120,104.00
3067,2,3130,104.33
3071,2,3136,104.53
3075,1,3141,104.70
3078,2,3147,104.90
3057,2,3150,105.00
3053,1,3154,105.13
3083,1,3170,105.67
3084,1,3170,105.67
3091,1,3177,105.90
3084,2,3185,106.17
3067,1,3190,106.33
3129,1,3217,107.23
3091,2,3220,107.33
3148,1,3264,108.80
